locality,ward
Shinivagilu,Ejipura
Shinivagilu Tank bed layout,Ejipura
AK Colony,Ejipura
National Games Housing Complex,Ejipura
K R Garden,Koramangala
Koramangala 6th block,Koramangala
KHB block,Koramangala
Kathali Palya,Koramangala
Koramangala 4th B block,Koramangala
Koramangala 5th and 5th A block,Koramangala
KHB colony,Koramangala
John Nagar,Koramangala
Nirmala block,Koramangala
Mestri Palya,Koramangala
Koramangala 3rd block,Koramangala
Jakkasandra block,Koramangala
Koramangala 1st and 1st A blocks,Koramangala
SBI colony,Koramangala
Koramangala 2nd block,Koramangala
Koramangala 8th Block and Kormangala Village,Koramangala
Suddagunte palya,Sudduguntepalya
Venakateshwar Layout,Sudduguntepalya
Kaveri Layout,Sudduguntepalya
Bhurappa Layout,Sudduguntepalya
Jogi slum,Sudduguntepalya
Chikka Adugodi,Sudduguntepalya
Bovi Colony,Sudduguntepalya
Bharath Nagar,Sudduguntepalya
Krishnamurhy Layout,Sudduguntepalya
Brindavan Nagar,Sudduguntepalya
Ramaiah Garden,Sudduguntepalya
Maruthi Nagar,Sudduguntepalya
Balaji Nagar,Sudduguntepalya
Bharathi Layout,Sudduguntepalya
Bhavani Nagar,Sudduguntepalya
Tavarekere (P),Madiwala
Madduraman Nagar,Madiwala
Chikka Madivala,Madiwala
Madivala,Madiwala
Dollar Scheme colony,Madiwala
Jai Bheema Nagar,Madiwala
BTM Layout 1st stage,Madiwala
Aicobo Nagar,Madiwala
KSRP Quarters,Jakkasandra
Teachers colony,Jakkasandra
Jakkasandra,Jakkasandra
Venkatapura,Jakkasandra
HSR Layout � Sector 5 (P),Jakkasandra
Vysya Bank Colony,BTM Layout
MICO Layout,BTM Layout
Nainappa Setty playa,BTM Layout
BTM Layout 2nd Stage,BTM Layout
Someshwar Colony,BTM Layout
KAS officers colony,BTM Layout
Central Excise and Customs quarters,BTM Layout
Madina Nagar,BTM Layout
Abbayyappa Layout,BTM Layout
Ambedkar slum,BTM Layout
Rajaram Mohanroy extension,Sudam Nagar
Srinivas Colony,Sudam Nagar
Vinoba Nagar,Sudam Nagar
Sudham Nagar (P),Sudam Nagar
Kalasipalya (P),Sudam Nagar
Ganigarpete,Dharmarayaswamy Temple
Halsurpete,Dharmarayaswamy Temple
Kumbara Gundi,Dharmarayaswamy Temple
Kalasipalya Market,Dharmarayaswamy Temple
Kalasipalyam,Dharmarayaswamy Temple
New Bamboo Bazar,Dharmarayaswamy Temple
Nagarathpete,Dharmarayaswamy Temple
Tigalara pete,Dharmarayaswamy Temple
Vinayaka Extension,Sunkenahalli
Kempegowda Nagar,Sunkenahalli
Gandhi Bazar,Sunkenahalli
Sunkenahalli,Sunkenahalli
Shankarapuram,Sunkenahalli
Chikkanna Garden,Visvesvarapuram
Parvathipura,Visvesvarapuram
Mavalli,Visvesvarapuram
Upparahalli,Visvesvarapuram
Lalbagh Botanical Garden,Visvesvarapuram
Visweshwarapuram,Visvesvarapuram
Lalbagh kere,Visvesvarapuram
Siddapura,Siddapura
Dayananda Colony,Siddapura
Arekempanahalli,Siddapura
Someshwar Nagar,Siddapura
NIMHANS campus,Siddapura
Sudhama Nagar,Hombegowda Nagar
Hombegowda Nagar,Hombegowda Nagar
Wilson Garden,Hombegowda Nagar
NGO�s colony,Hombegowda Nagar
Chinnayanapalya,Hombegowda Nagar
Gupta Layout (P),Hombegowda Nagar
Basavanagudi (P),Jayangar
Kanakanapalya,Jayangar
Jayanagar 1st and 2nd blocks,Jayangar
Jayanagar 3rd East block,Jayangar
RBI Extension,Jayangar
RBI colony,Jayangar
S R Krishnappa Garden,Jayangar
Kamakshipalya Industrial Estate,Kaveripura
Pete Chennappa Industrial Estate,Kaveripura
Kaveripura Priyadarshini Layout,Kaveripura
Ranganathpura,Kaveripura
HVR Layout,Kaveripura
Syndicate Bank Colony,Kaveripura
Prashanth Nagar Colony,Kaveripura
Sampige Layout,Kaveripura
Rajiv Nagar,Kaveripura
Srishaila Nagar,Kaveripura
Muneswara Nagar,Kaveripura
Pattigara Palya,Kaveripura
Saraswathi Nagar,Kaveripura
Prashanth Nagar,Govindraja Nagara
Corporation Colony,Govindraja Nagara
BMP Colony,Govindraja Nagara
Govindaraja Nagar,Govindraja Nagara
Magadi Chord road Layout,Govindraja Nagara
Thimmenahalli,Govindraja Nagara
CHBS Layout,Govindraja Nagara
Binni Layout,Govindraja Nagara
Vijaya Nagar 1st Stage,Govindraja Nagara
Indira Colony,Agrahara Dasarahalli
West of Chord road 4th Stage,Agrahara Dasarahalli
Agrahara Dasarahalli,Agrahara Dasarahalli
Oddarapalya (P),Agrahara Dasarahalli
Rajaji Nagar Industrial town,Dr.Rajkumar
Oddarapalya (P),Dr.Rajkumar
Rajaji Nagar 6th block,Dr.Rajkumar
Police Colony,Dr.Rajkumar
Amarjyothi Nagar,Marenahalli
Saraswathi Nagar,Marenahalli
Kanaka Nagar,Marenahalli
Marenahalli,Marenahalli
Madhura Nagar,Maruthi Mandira
Vinayaka Layout,Maruthi Mandira
GKW Layout,Maruthi Mandira
Vijayanagar (P),Maruthi Mandira
Canara Bank Colony,Maruthi Mandira
Panchasheela Nagar,Moodalapalya
Lakkappa Garden,Moodalapalya
Kurilingappa Garden,Moodalapalya
Annapurneshwari Nagar,Moodalapalya
Mudalapalya,Moodalapalya
Shantha Kaveri Gopala Nagar,Moodalapalya
Adarsha Nagar,Moodalapalya
Shakthi Nagar,Moodalapalya
Kalyana Nagar,Moodalapalya
Bairaveshwar Nagar,Moodalapalya
Chalukya Nagar,Nagarabhavi
Hoysala Nagar,Nagarabhavi
Nagarabhavi,Nagarabhavi
Manasa Nagar,Nagarabhavi
Madhura Nagar,Nagarabhavi
Anand Jyothi Nagar,Nagarabhavi
BDA Layout,Nagarabhavi
Chandra Layout,Nagarabhavi
Ahamad Nagar (P),Nagarabhavi
Teachers colony,Nagarabhavi
Gangodanahalli,Nagarabhavi
Nayandahalli,Nayandanahalli
Chandra Layout Extension,Nayandanahalli
Chandra Layout II Stage,Nayandanahalli
Metro Layout,Nayandanahalli
Dr. Ambedkar Nagar,Nayandanahalli
Jayanagar 4th Block,Pattabhiram Nagar
Pattabhirama Nagar,Pattabhiram Nagar
4th T Block ( Tilak Nagar),Pattabhiram Nagar
Jayanagar 5th Block,Pattabhiram Nagar
Bairasandra Extension,Byrasandra
Jayanagar 3rd Block East,Byrasandra
Canara Bank Colony,Byrasandra
BCC Layout,Byrasandra
LIC Colony,Byrasandra
NAL Layout,Jayanagar East
URS Colony,Jayanagar East
Jayanagar 9th Block,Jayanagar East
KEB Colony,Jayanagar East
Vysya Bank Colony,Jayanagar East
Bismilla Nagar,Gurappanapalya
Tavarekere,Gurappanapalya
Gurappanapalya,Gurappanapalya
Maruthi HBS Layout,Gurappanapalya
KEB Colony,Gurappanapalya
JP Nagar 2nd Phase,J.P.Nagar
JP Nagar 3rd Phase,J.P.Nagar
JP Nagar 4th Phase (Sarakki Dollar Layout),J.P.Nagar
Shivananda Sharma Memorial RV College,J.P.Nagar
Sarakki,Sarakki
JP Nagar 6th Phase,Sarakki
LIC Quarters,Sarakki
Jayanagar 8th Block,Shakambari Nagar
Jayanagar 5th Block,Shakambari Nagar
TMC Layout,Shakambari Nagar
J.P.Nagar 1st Phase,Shakambari Nagar
Shakambari Nagar,Shakambari Nagar
Banashankari 3 stage,Hosakerehalli
Hosakerehalli,Hosakerehalli
Dattatreya Nagar,Hosakerehalli
Mookambika Nagar,Hosakerehalli
Vidyhasagar,Hosakerehalli
NCERT,Hosakerehalli
PES Institute of technology,Hosakerehalli
Banashankari 3rd Stage (p),Ganeshmandira
Banashankari 2nd Stage,Ganeshmandira
Kempegouda Institute Of Medical Science,Ganeshmandira
BNM College,Ganeshmandira
JayaNagar 7th Block,Karisandra
National College,Karisandra
Karisandra,Karisandra
Byrappa Block,Yadiyuru
Krishna Block,Yadiyuru
Tyagaraj Nagar,Yadiyuru
Shastri Nagar,Yadiyuru
Yediyur,Yadiyuru
JayaNagar 6th Block,Yadiyuru
Gupta Layout,Yadiyuru
Vijayarangam Layout,Yadiyuru
City Centre Library,Yadiyuru
Teacher�s Colony,Banashankari Temple
Bhavani Nagar,Banashankari Temple
Eshwar Nagar,Banashankari Temple
Vivekanada Colony,Banashankari Temple
Sarabanda Palya,Banashankari Temple
Gangadhar Nagar,Banashankari Temple
Yarab Nagar,Banashankari Temple
Omarbhagh,Banashankari Temple
Kadirenahalli,Kumaraswamy Layout
Bendre Nagar,Kumaraswamy Layout
Kumaraswamy layout 1st and 2nd stage,Kumaraswamy Layout
ISRO layout,Kumaraswamy Layout
Kanakagruha layout,Kumaraswamy Layout
Vsasudha Bhavan,Kumaraswamy Layout
Dayananda Sagar Engineering Collage,Kumaraswamy Layout
Kattriguppe 4th phase (P),Padmanabha Nagar
Padmanabhanagar,Padmanabha Nagar
RK layout,Padmanabha Nagar
Brundavana layout,Padmanabha Nagar
Rajiv Nagar,Padmanabha Nagar
Regional Institute of Co-operative management,Padmanabha Nagar
Syndicate Bank colony,Padmanabha Nagar
Bharat Housing Society layout,Padmanabha Nagar
Gowdanapalya kere,Padmanabha Nagar
Rangappa layout,Chikkalasandra
Kattriguppe 3rd phase,Chikkalasandra
Kattriguppe 4th phase,Chikkalasandra
Chikkallasandra,Chikkalasandra
Kamakya Theatre,Chikkalasandra
Kempapura Agrahara (P),Kempapura Agrahara
Mariyappana Palya,Kempapura Agrahara
Vijayanagar,Vijay Nagar
Hosahalli Extension (P),Vijay Nagar
Cholurpalya,Vijay Nagar
Vidyaranya Nagar,Vijay Nagar
Manjunath Nagar,Vijay Nagar
Hosahalli Extension (P),Hosahalli
Hosahalli,Hosahalli
Vijayanagar 1st stage,Hosahalli
DOS colony,Hosahalli
Binny Layout,Hosahalli
Ambedkar Layout,Hosahalli
Telecom Layout,Hosahalli
Chevappa Garden,Hosahalli
Krishnappa Layout,Hosahalli
Dwaraka Nagar,Attiguppe
Nisarga Layout,Attiguppe
Maruthi Nagar,Attiguppe
Bapuji Nagar,Attiguppe
Basaveshwar HBCS Layout,Attiguppe
Widia Layout,Attiguppe
BHEL Township,Attiguppe
Income Tax Layout,Attiguppe
Attiguppe,Attiguppe
Binny Mills Employees Colony,Attiguppe
Agromar Layout,Attiguppe
BCC Layout,Attiguppe
Nethaji Layout,Attiguppe
Laripalya,Attiguppe
Hosahalli Extension,Hampi Nagar
RPC Layout,Hampi Nagar
Vijay Nagar 2nd Stage,Hampi Nagar
Maruthi Nagar,Hampi Nagar
Kavika Layout,Hampi Nagar
Shamanna Nagar,Bapuji Nagar
Guddadahalli,Bapuji Nagar
Manjunath Nagar,Bapuji Nagar
Kuvempu Nagar,Bapuji Nagar
New Guddadahalli,Bapuji Nagar
Anatha Nagar,Bapuji Nagar
Bapuji Nagar,Bapuji Nagar
Chowdappa Layout,Bapuji Nagar
Karithimmanahalli,Gali Anjaneya Swamy Temple
Raghavendra Nagar,Gali Anjaneya Swamy Temple
Sanjaya Nagar,Gali Anjaneya Swamy Temple
Telecom Layout,Gali Anjaneya Swamy Temple
Timber Yard Layout,Gali Anjaneya Swamy Temple
Venkateshpura,Gali Anjaneya Swamy Temple
Byatarayanapura,Gali Anjaneya Swamy Temple
Muneswara block (P),Gali Anjaneya Swamy Temple
Deepanjali Nagar,Deepanjali Nagar
Patel Puttanna Industrial Estate,Deepanjali Nagar
FCI Layout,Deepanjali Nagar
Roshan Nagar,Deepanjali Nagar
Muthachary Industrial Estate,Deepanjali Nagar
Ganapathi Nagar,Deepanjali Nagar
Avalahalli,Deepanjali Nagar
Veerabhadra Nagar,Deepanjali Nagar
KEB quarters,Deepanjali Nagar
Raghavendra Colony,Deepanjali Nagar
Arafat Nagar,Padarayanapura
Vinayaka Nagar,Padarayanapura
Jai Bharat Nagar,Padarayanapura
Jagjivanram Nagar (P),Padarayanapura
Padarayanapura,Padarayanapura
Devaraj Urs Nagar,Jagareevanram Nagar
Goripalya,Jagareevanram Nagar
Old Guddadahalli,Jagareevanram Nagar
Jagajivanaram Nagar (P),Jagareevanram Nagar
Padarayanpura (P),Rayapuram
Rayapuram,Rayapuram
Ranganath Colony,Rayapuram
Jagjivanram Nagar (P),Rayapuram
CAR Police Quarters (P),Rayapuram
Sultan Nagar,Chalavadipalya
Jai Bhumi Nagar,Chalavadipalya
Anjanappa Garden,Chalavadipalya
Siddharth Nagar,Chalavadipalya
Doreswamy Nagar,Chalavadipalya
Bhangi Colony,Chalavadipalya
Chalavadipalya,Chalavadipalya
CAR Police Quarters (P),Chalavadipalya
Giripuram,Chalavadipalya
Cottonpete,K.R.Market
Ranasinghpete,K.R.Market
Old Tharagupete,K.R.Market
K R Market,K.R.Market
New Tharagupete,K.R.Market
Tippu Nagar,K.R.Market
Chamarajpet,Chamrajpet
Raghavendra Colony,Chamrajpet
Nanjamba Agrahara,Chamrajpet
Kasturba Nagar,Azad Nagar
Bhakta Markendeya Layout,Azad Nagar
Vittal Nagar,Azad Nagar
Adarsh Nagar,Azad Nagar
Azad Nagar,Azad Nagar
Madigarpalya (Valmiki Nagara),Azad Nagar
Ramchandra Agrahara,Azad Nagar
Sudheendra Nagar,Dattathreya Temple
swimming pool extension,Dattathreya Temple
Kumara Park West,Dattathreya Temple
Seshadripuram,Gandhi Nagar
Ramakrishna Layout,Gandhi Nagar
Nehru Nagar,Gandhi Nagar
VV Giri Colony,Gandhi Nagar
Bangalore City,Gandhi Nagar
Kempegowda bus Stand,Gandhi Nagar
RK Puram,Gandhi Nagar
Gandhinagar,Gandhi Nagar
Upparpet,Gandhi Nagar
Chikpete (P),Gandhi Nagar
Jai Bhimanagar Slum,Subhash Nagar
Swatantra Nagra,Subhash Nagar
PNR North nagar,Subhash Nagar
Srirampuram,Subhash Nagar
Vivekanada Nagar,Subhash Nagar
Hanumanthappa colony,Subhash Nagar
Shastri Nagar,Subhash Nagar
Railway station,Subhash Nagar
Subhash Nagar,Subhash Nagar
Ramachandrapura,Okalipuram
Hanumanthapura,Okalipuram
Okalipuram,Okalipuram
Kasturi Nagar,Okalipuram
Gopalpura (P),Okalipuram
Akkipete (P),Chikpete
Sowrashtrapete,Chikpete
Balepete,Chikpete
Chickpete (P),Chikpete
Anchepete,Chikpete
Huriupete,Chikpete
Mamoolpete,Chikpete
Ballapurpete,Chikpete
Cubbonpete,Chikpete
Ramanpete,Chikpete
K G Extension,Chikpete
Aswath Nagar,Cottonpet
Keshav Nagar,Cottonpet
Nagamma Nagar,Cottonpet
SBI staff quarters,Cottonpet
Akkipete (P),Cottonpet
Sultanpete,Cottonpet
Manavathipete,Cottonpet
Cottonpete,Cottonpet
Binnipete,Binnipet
Gopalapura (P),Binnipet
Kempapura Agrahara (P),Binnipet
Kanteerava Studio,Nandini Layout
Jayachamaraja Layout,Nandini Layout
AGB Layout,Nandini Layout
Saraswathipuram,Nandini Layout
Nandini Layout,Nandini Layout
Jai Maruthi Nagar,Nandini Layout
Maruthi Nagar,Nandini Layout
SN Layout,Nandini Layout
Sriram Nagar,Nandini Layout
Gelayara Balaga Layout,Nandini Layout
Kurubarahalli,Nandini Layout
Panchadeepa Colony,Nandini Layout
Srinivas Nagar,Nandini Layout
Jaibhuvaneshwari Nagar,Nandini Layout
Kanteerava Nagar,Nandini Layout
Prameela Nagar,Nandini Layout
Gouthampura,Marappana Palya
RMC Yard,Marappana Palya
Marappana Palya,Marappana Palya
Mysore Sandal Soap Factory,Marappana Palya
Ashokpuram,Marappana Palya
Shankara Nagar,Marappana Palya
Corporation Bank Officers quarters,Marappana Palya
Krishnananda Nagar,Marappana Palya
Police Quarters Yashwanthpura Industrial Suburb (P),Marappana Palya
Rajajinagar Industrial Suburb,Nagapura
Geleyara Balaga Layout (P),Nagapura
West of Cord road 2nd Stage 1st Block,Nagapura
Ketmaranahalli,Nagapura
Saraswathipuram,Mahalakshmipuram
Mahalakshimpuram North Layout,Mahalakshmipuram
SN Layout,Mahalakshmipuram
AGB Layout,Mahalakshmipuram
Maruthi Nagar,Mahalakshmipuram
Geleyara Balaga Layout (P),Mahalakshmipuram
Sriram Nagar,Mahalakshmipuram
Basaveshwara Nagar,Shakthiganapathi Nagar
Kirloskar Colony,Shakthiganapathi Nagar
NGO�s Colony,Shakthiganapathi Nagar
BEML Layout,Shakthiganapathi Nagar
Shakthi Ganapati Nagar,Shakthiganapathi Nagar
Jayachamarajanagar,Shankaramata
Kurubararahalli,Shankaramata
SVKNagar,Shankaramata
KHBS Layout,Shankaramata
Shankarmatt,Shankaramata
MGNagar,Shankaramata
Jayachamarajendranagara,Shankaramata
Sanjaygandhi nagar,Shankaramata
Teacher�s Colony,Shankaramata
SriVenkateshwara Krupa Layout,Shankaramata
Kamala Nagar,Vrushabhavathi
Channigappa Layout,Vrushabhavathi
Sanakki Bayalu,Vrushabhavathi
Vrishabha Nagar,Vrushabhavathi
Vinayaka Nagar,Vrushabhavathi
Kamakshipalya,Vrushabhavathi
Maruthi Nagar,Vrushabhavathi
M S Ramaiah Nagar,Aramane Nagar
Indian Institute of Science (IISc) Campus,Aramane Nagar
IAF Quarters,Aramane Nagar
Sankey�s tank,Aramane Nagar
Palace ground,Aramane Nagar
Malleswaram (P),Aramane Nagar
Ashwathnagar,Aramane Nagar
AGS Officers Layout,Aramane Nagar
ITI Layout,Aramane Nagar
Sadashiva Nagar,Aramane Nagar
RMV 2nd Stage 1st Block,Aramane Nagar
Sanjivappa Garden,Mathikere
Mattikere,Mathikere
Netaji Nagar,Mathikere
Mattikere Extension,Mathikere
Gokul Extension,Mathikere
Malleswaram (P),Malleshwaram
Yashwanthpura,Malleshwaram
Subedharpalya,Malleshwaram
Nanjappa Reddy colony,Malleshwaram
Vaiyyalikaval (P),Rajamahal
Malleswaram (P),Rajamahal
Rajamahal Guttahalli,Rajamahal
Malleshwaram,Kadumalleshwara
Ranganathpuram,Kadumalleshwara
Vaiyyalikaval (P),Kadumalleshwara
Maruthi Nagar,Kadumalleshwara
Subramanya Nagar,Subramanya Nagar
Milk colony,Subramanya Nagar
Gayithri Nagar,Gayathri Nagar
Sriramapuram North,Gayathri Nagar
Yarappa Block,Dayananda Nagar
Ambedkar Nagar,Dayananda Nagar
Venkateshwra AK Colony,Dayananda Nagar
Ramakrishna Seva Nagar,Dayananda Nagar
Dayananda Nagar,Dayananda Nagar
Prakash Nagar,Prakash Nagar
Adaranha Layout,Rajaji Nagar
Indira Nagar,Rajaji Nagar
Manjunath Nagar,Rajaji Nagar
Basaveshwara Nagar,Rajaji Nagar
KEB Quaters,Rajaji Nagar
Rajajinagar 2nd block,Rajaji Nagar
LIC colony,Basaveshwara Nagar
Manjunath Nagar 3rd stage,Basaveshwara Nagar
Saneguruvanahalli,Basaveshwara Nagar
Basaveshwara Nagar (P),Basaveshwara Nagar
BEML Layout,Kamakshipalya
West of Chord Road I Stage,Kamakshipalya
Meenakshi Nagar,Kamakshipalya
Cauvery Nagar,Kamakshipalya
KHB Colony,Kamakshipalya
AK Colony,Kamakshipalya
Ashtagrama,Kamakshipalya
Karekallu,Kamakshipalya
Kamakshipalya,Kamakshipalya
Shivanagar,Shiva Nagar
Bovi Colony,Shiva Nagar
West of Chord road 6th Phase,Shiva Nagar
Maha Ganapathi Nagar,Shiva Nagar
Rajaji Nagar 3rd Block,Shiva Nagar
Rajaji Nagar IV Block,Sri Rammandira
Rajaji Nagar V Block,Sri Rammandira
Rajaji Nagar VI Block (P),Sri Rammandira
Jedehalli,Sri Rammandira
4M block SSI Industrial area,Sri Rammandira
Bashyam Nagar,Sri Rammandira
Gobbanna Industrial area,Sri Rammandira
Kattigenahalli,Jakkur
Bellahalli,Jakkur
Srinivasapura,Jakkur
Thirumenahalli,Jakkur
Chokkanahalli,Jakkur
Astra Zenca Factory,Jakkur
Vinayaka Nagar,Jakkur
GL Raju colony,Jakkur
Thayamma layout,Jakkur
Ramanna Garden,Jakkur
Baba Nagar,Jakkur
Sri Krishna Garden,Jakkur
Defence Residency,Jakkur
Sri Balaji Residency,Jakkur
Kattigenahalli kere,Jakkur
Sapthagiri Layout (near Kattigenahalli kere),Jakkur
Kogilu,Jakkur
Kogilu kere,Jakkur
Tippu Nagar,Jakkur
Kogilu Layout,Jakkur
Vinayaka Layout,Jakkur
Gowdaramaiah layout,Jakkur
Kaliti muniswamappa layout,Jakkur
Prakruthi Layout,Jakkur
NKF Layout,Jakkur
Balihalli - MS Nagar,Jakkur
Marisondappa layout,Jakkur
Thirumenahalli layout,Jakkur
Thirumenahalli,Jakkur
Agrahara Layout,Jakkur
Krishna Nagar Enclave,Jakkur
Balaji Layout,Jakkur
Pooja Mahalaxmi Layout,Jakkur
Chamundi Layout,Jakkur
KPSC Layout,Jakkur
Vidhana Soudha Layout,Jakkur
Shivanahalli (P),Jakkur
Basaveshwara Nagar (P),Jakkur
Jakkur kere,Jakkur
Jakkur village (P),Jakkur
Sampigehalli,Jakkur
Arkavathi Layout 2nd 3rd & 7th blocks,Jakkur
Maruthi Layout,Jakkur
Somappa Layout,Jakkur
Agrahara,Jakkur
Agrahara kere,Jakkur
LHS Yelhanka Layout,Jakkur
Chokkanahalli layout,Jakkur
Noor Nagar,Jakkur
Thirumenahalli layout,Jakkur
Basavalingappa Nagar (P),Jakkur
MoC co-op society layout,Jakkur
G Gundappa Reddy Layout,Jakkur
Srirampura,Jakkur
Telecom Layout,Jakkur
MCEHS layout,Jakkur
MCHS Layout,Jakkur
Venkateshwara nagar,Jakkur
Thanisandra,Thanisandra
Rachenahalli,Thanisandra
Dasarahalli,Thanisandra
CAR Quarters,Thanisandra
Balaji Krupa Layout,Thanisandra
Basavalingappa Nagar (P),Thanisandra
R K Hegde Nagar,Thanisandra
Kaveri Nagar,Thanisandra
Prashanth Nagar (P),Thanisandra
Chowdappa Layout,Thanisandra
Nandanavana Layout,Thanisandra
BDS Layout,Thanisandra
Sirdi Sai Rathan Layout,Thanisandra
Railway mens layout,Thanisandra
Vidya Layout,Thanisandra
Bhagyashree Royal Layout,Thanisandra
Chamundeswari Layout,Thanisandra
Arogyappa Layout,Thanisandra
Mestri Palya,Thanisandra
Jingarappa Layout,Thanisandra
Rachenahalli kere,Thanisandra
Maruthi Layout,Thanisandra
Prakruthi colony,Thanisandra
Buvaneshwari Nagar,Thanisandra
Mariyanna Palya,Thanisandra
Nandana Residency Layout,Thanisandra
Defence Layout,Thanisandra
Defence enclave 2,Thanisandra
Manyata Residential layout,Thanisandra
Defence colony,Thanisandra
Bharat Nagar,Thanisandra
Sarai Palya,Thanisandra
Ashwath Nagar,Thanisandra
Settigere Muniyappa Layout,Thanisandra
Amara Jyothi Layout,Thanisandra
Krishnappa Layout,Thanisandra
MCECHS Sanchar Nagar,Thanisandra
Alankar Nagar (Sajid Nagar),Thanisandra
Muninangappa Layout,Thanisandra
Vidya Sagar Layout,Thanisandra
Rasool Sab Layout,Thanisandra
Tuba Layout,Thanisandra
MS Ramaiah North city,Thanisandra
UAS Teacher Layout,Byatarayanapura
Jakkuru Aerodrome,Byatarayanapura
Jakkuru (P),Byatarayanapura
Shoba apartments,Byatarayanapura
Arkavathy Layout Block I,Byatarayanapura
Talakaveri Layout,Byatarayanapura
Jakkuru Layout,Byatarayanapura
L & T Layout,Byatarayanapura
Hoysala Layout,Byatarayanapura
Amruthalli,Byatarayanapura
Muniswamiappa Layout,Byatarayanapura
Amruth Nagar,Byatarayanapura
Samruthi Nagar,Byatarayanapura
Shabhari Nagar,Byatarayanapura
Arkavathi Layout,Byatarayanapura
Byatarayanapura,Byatarayanapura
Hebbal Kempapura,Byatarayanapura
Venkate gowda Layout,Byatarayanapura
Pampa extension,Byatarayanapura
Vinayaka Layout 1 and 2,Byatarayanapura
Chiranjeevi Layout,Byatarayanapura
Muniswamy gowda layout,Byatarayanapura
Vayunandana Layout,Byatarayanapura
Yogesh Layout,Byatarayanapura
Kariyanna Layout,Byatarayanapura
Nagavara Kere,Byatarayanapura
Coffee Board layout,Byatarayanapura
Vishveshwar Layout,Byatarayanapura
Sahakara Nagar (P) A - E - F & G Blocks,Byatarayanapura
Sanjeevini Nagar,Byatarayanapura
Military Farm,Byatarayanapura
Sahakara Nagar (P) B - C & D blocks -,Kodigehalli
CQAL layout,Kodigehalli
Kodigehalli village,Kodigehalli
Sonegowda Layout,Kodigehalli
Maruthi Nagar,Kodigehalli
AMCO Layout,Kodigehalli
Ashwathappa Layout,Kodigehalli
Shanbhog Narayanappa Layout,Kodigehalli
TATA Nagar,Kodigehalli
IISc Layout,Kodigehalli
Kannuramma Layout,Kodigehalli
Devi Nagar,Kodigehalli
Lottegollahalli,Kodigehalli
Maruthi Nagar (Near Ring road),Kodigehalli
Badrappa Layout,Kodigehalli
Balaji Layout,Kodigehalli
Hebbal Kere,Kodigehalli
Shantivana,Kodigehalli
GKVK Campus,Vidyaranyapura
M V Layout,Vidyaranyapura
Virupakshpura,Vidyaranyapura
Canara Bank Layout,Vidyaranyapura
Indian Express Layout,Vidyaranyapura
Buddha Jyothi Layout,Vidyaranyapura
Sonappa Layout,Vidyaranyapura
Maruthi Layout,Vidyaranyapura
Telecom Layout,Vidyaranyapura
Kempegowda Nagar,Vidyaranyapura
Muniswamiappa Layout,Vidyaranyapura
Basaveshwar Colony,Vidyaranyapura
Anjaneya Layout,Vidyaranyapura
Tindlu,Vidyaranyapura
Siddalingeshwar Layout,Vidyaranyapura
Vidyaranyapura 5th and 6th blocks,Vidyaranyapura
Srinidhi Layout,Vidyaranyapura
Balaji Layout,Vidyaranyapura
Dodda Bommasandra (P),Vidyaranyapura
Chikka Venkatappa Layout,Vidyaranyapura
Vidyaranayapura 1st -3rd and 4th blocks,Vidyaranyapura
M Venkataswamiappa Layout,Vidyaranyapura
Gurudarshan Layout,Vidyaranyapura
Jyaneshwari Layout,Vidyaranyapura
Tindlu kere,Vidyaranyapura
Sapthagiri Layout,Vidyaranyapura
Nanjappa Layout,Doddabommasandra
Chamundeshwari Layout,Doddabommasandra
Ramanna Layout,Doddabommasandra
Mandamma Layout,Doddabommasandra
Govindayyana Palya (P),Doddabommasandra
Kempamma Layout,Doddabommasandra
Hanuman Layout,Doddabommasandra
Subbakka Layout,Doddabommasandra
Dodda Bommasandra (P),Doddabommasandra
Jayalakshamma Layout,Doddabommasandra
Ranappa Dasappa Layout,Doddabommasandra
Muneswara Layout,Doddabommasandra
Vimana Layout,Doddabommasandra
Kodigehalli kere,Doddabommasandra
Nagaland Colony,Doddabommasandra
BEL Quarters,Doddabommasandra
BEL Colony,Doddabommasandra
CRL - BEL Industrial estate,Doddabommasandra
Vidyaranayapura 2nd block,Doddabommasandra
BEL Layout,Doddabommasandra
Sudguru Layout,Kuvempu Nagar
Kanshiram nagar,Kuvempu Nagar
Anand Garden,Kuvempu Nagar
Shingapura,Kuvempu Nagar
Shingapura kere,Kuvempu Nagar
Vinayaka Nagar,Kuvempu Nagar
Varadharaja Nagar,Kuvempu Nagar
Air Force area,Kuvempu Nagar
Jalahalli East,Kuvempu Nagar
Raghuram Layout,Kuvempu Nagar
Ramachandrapura,Kuvempu Nagar
Kalatturu Layout,Kuvempu Nagar
Jarkhabandi State Forest,Kuvempu Nagar
H V V Valley layout,Kuvempu Nagar
Vishveswariah Enclave,Kuvempu Nagar
Naidu Layout,Kuvempu Nagar
Kuvempu Nagar,Kuvempu Nagar
Venkatesh Nagar,Kuvempu Nagar
Muniswamiappa Layout,Kuvempu Nagar
Simhadri Layout,Kuvempu Nagar
Govindayyana Palya (P),Kuvempu Nagar
Raghavendra Colony,Kuvempu Nagar
Defence Layout,Kuvempu Nagar
Ganesh Layout,Kuvempu Nagar
M S Palya,Kuvempu Nagar
Gangammangudi,Kuvempu Nagar
Govindapura,Kempegowda
Kulappa Layout,Kempegowda
Vasudevapura,Kempegowda
